id,name,host_id,host_since,host_total_listings_count,latitude,longitude,neighbourhood_cleansed,property_type,room_type,square_feet,price,review_scores_rating,z_score
22787,"Sunny suite w/ queen size bed, inside boutique B&B",87973,2010-03-03,9,19.44076,-99.16324,Cuauhtémoc,Boutique hotel,Private room,248.0,2331.0,98.0,0.2589746986330678
35797,Villa Dante,153786,2010-06-28,2,19.38399,-99.27335,Cuajimalpa de Morelos,Villa,Entire home/apt,32292.0,4457.0,,0.7667798623397537
56074,Great space in historical San Rafael,265650,2010-10-19,2,19.43937,-99.15614000000001,Cuauhtémoc,Condominium,Entire home/apt,646.0,809.0,97.0,-0.10456220595845431
58955,Entire beautiful duplex in la Roma,282620,2010-11-09,1,19.42292,-99.15775,Cuauhtémoc,Loft,Entire home/apt,1184.0,1932.0,100.0,0.1636716599129513
61792,Spacious Clean Quiet room (own bath) in la Condesa,299558,2010-11-26,1,19.412589999999998,-99.17959,Cuauhtémoc,House,Private room,161.0,1364.0,98.0,0.02800217120862505
70644,Beautiful light Studio Coyoacan- full equipped !,212109,2010-08-24,4,19.35601,-99.16167,Coyoacán,Apartment,Entire home/apt,,1202.0,98.0,-0.01069229564014406
75615,Villa Dante,153786,2010-06-28,2,19.36585,-99.27911,Cuajimalpa de Morelos,Villa,Private room,,4457.0,,0.7667798623397537
99972,Dreamy suite w/ king size bed in boutique B&B,87973,2010-03-03,9,19.44268,-99.16371,Cuauhtémoc,Boutique hotel,Private room,,3259.0,,0.48063189144576984
107078,NEW  DESIGNER LOFT,540705,2011-04-27,3,19.4313,-99.19438000000001,Miguel Hidalgo,Loft,Entire home/apt,1550.0,4793.0,100.0,0.8470350528409044
131610,MARIA DEL ALMA,647454,2011-05-31,3,19.35266,-99.16338,Coyoacán,Other,Private room,,1864.0,,0.14742953802581366
165772,BEST 4BR 4 BH HOUSE IN S. MIGUEL CHAPULTEPEC,790208,2011-07-07,4,19.40675,-99.18798000000001,Miguel Hidalgo,House,Entire home/apt,3444.0,1245.0,98.0,-0.0004215420938658393
171109,Cool room near WTC and Metrobus,816295,2011-07-13,2,19.39549,-99.17616,Benito Juárez,Apartment,Private room,1292.0,294.0,97.0,-0.22757239378015856
180808,"Huge Luxurious Suite 70's style, perfectly located",36836,2009-09-07,2,19.4239,-99.1689,Cuauhtémoc,Loft,Entire home/apt,,1222.0,94.0,-0.005915200967456515
187030,Colorful and spacious Apt. Family favorite,899360,2011-07-31,6,19.41057,-99.1773,Cuauhtémoc,Apartment,Entire home/apt,1119.0,1318.0,91.0,0.017014853461443696
187745,Extraordinarily Spacious Apt. in Condesa,899360,2011-07-31,6,19.41057,-99.1773,Cuauhtémoc,Loft,Entire home/apt,1292.0,2159.0,93.0,0.21789168444795493
194937,Sunny and fresh Retro style Apartment,899360,2011-07-31,6,19.41057,-99.1773,Cuauhtémoc,Apartment,Entire home/apt,753.0,1409.0,93.0,0.03875063422217202
198778,Smack in the Middle of La Condesa,970609,2011-08-14,2,19.41395,-99.17948,Cuauhtémoc,Apartment,Entire home/apt,,1091.0,92.0,-0.03720517107355993
204887,"Condesa-Roma, great place to stay!",998053,2011-08-20,1,19.40409,-99.17730999999999,Miguel Hidalgo,Apartment,Entire home/apt,,792.0,91.0,-0.10862273643023872
217685,"Condesa, one of the best zones.",184410,2010-07-29,1,19.40454,-99.1715,Cuauhtémoc,Apartment,Entire home/apt,,611.0,94.0,-0.151855443218061
245507,TRENDY APARTMENT IN ZONA ROSA!! SUPER LOCATION!!,1288063,2011-10-13,11,19.4251,-99.17067,Cuauhtémoc,Apartment,Entire home/apt,,1471.0,96.0,0.05355962770750341
246057,HIP APARTMENT IN ZONA ROSA!! SUPER LOCATION!!,1288063,2011-10-13,11,19.42373,-99.1714,Cuauhtémoc,Apartment,Entire home/apt,0.0,1697.0,98.0,0.10754079750887266
247543,"Independent studio, top location",1297488,2011-10-16,1,19.43516,-99.13806,Cuauhtémoc,Apartment,Private room,110.0,682.0,97.0,-0.13489675713002022
252618,"""Chavela"" Private & Furnished Room",1326107,2011-10-23,4,19.41328,-99.15513,Cuauhtémoc,Apartment,Private room,,325.0,83.0,-0.22016789703749287
255354,Tours in Mexico city,855066,2011-07-22,1,19.49886,-99.19171999999999,Azcapotzalco,Apartment,Private room,,721.0,100.0,-0.1255814225182795
256555,GREAT HOUSE IN S MIGUEL CHAPULTEPEC,790208,2011-07-07,4,19.40631,-99.18691,Miguel Hidalgo,House,Entire home/apt,3660.0,1245.0,98.0,-0.0004215420938658393
261897,Charming 1BR flat in Roma/Condesa,1373924,2011-11-05,1,19.41835,-99.17363,Cuauhtémoc,Apartment,Entire home/apt,732.0,1409.0,95.0,0.03875063422217202
271048,Great location in Mexico City!,1417206,2011-11-17,1,19.42686,-99.17838,Miguel Hidalgo,Apartment,Entire home/apt,,1962.0,98.0,0.17083730192198263
